Unnamed: 0,daily_screen_time,app_sessions,social_media_usage,gaming_time,notifications,night_usage,age,work_study_hours,stress_level,apps_installed,addicted
0,2,29,0,0,49,0,44,5,3,35,not addicted
1,6,29,1,2,65,1,29,5,9,21,addicted
2,9,28,2,0,57,3,28,7,5,39,addicted
5,4,29,0,0,59,1,42,6,5,22,not addicted
7,7,37,4,1,63,1,21,7,5,33,addicted
10,4,14,3,0,41,1,50,11,7,29,not addicted
11,5,29,1,1,57,1,35,4,4,31,not addicted
12,5,30,2,2,67,0,15,9,4,26,addicted
13,7,43,2,0,68,3,44,7,6,29,addicted
14,7,27,1,0,46,1,27,6,0,26,not addicted
15,6,31,2,2,82,1,42,8,3,24,addicted
16,5,24,1,0,66,0,50,5,6,20,not addicted
18,4,33,1,2,53,1,34,7,7,28,not addicted
20,2,28,0,0,55,0,45,6,1,33,not addicted
21,7,36,1,2,72,1,29,4,4,34,addicted
22,6,32,3,1,65,1,33,8,7,33,addicted
24,1,21,0,0,52,0,45,8,1,22,not addicted
25,2,18,1,0,56,1,27,5,2,22,not addicted
27,5,34,1,0,66,0,54,11,3,23,not addicted
30,4,28,1,0,37,0,24,4,7,22,not addicted
31,4,25,1,3,53,0,46,8,4,21,not addicted
33,5,13,2,0,51,0,54,8,5,21,not addicted
37,2,23,0,0,50,0,42,8,6,26,not addicted
39,5,24,0,0,39,1,36,9,1,31,not addicted
40,1,23,0,0,48,1,33,8,1,24,not addicted
43,6,30,3,1,55,1,25,7,6,29,addicted
45,7,26,2,0,47,2,22,10,4,28,not addicted
46,5,26,2,0,63,0,33,6,0,28,not addicted
51,4,40,0,1,68,3,22,5,9,23,addicted
52,8,45,3,2,73,1,43,4,6,24,addicted
53,2,21,0,0,54,2,54,10,6,25,not addicted
56,6,25,1,1,51,1,49,5,0,22,not addicted
60,6,40,2,1,69,1,32,8,3,23,addicted
61,7,38,2,2,79,1,20,3,4,34,addicted
63,4,46,3,1,68,0,40,3,6,30,addicted
64,5,37,2,1,55,2,39,7,3,26,addicted
65,6,22,1,2,56,1,35,8,4,27,not addicted
71,5,21,0,1,48,0,51,7,2,21,not addicted
72,3,23,1,0,59,0,33,8,2,23,not addicted
74,6,40,2,1,60,2,28,6,4,22,addicted
75,6,43,2,2,66,2,28,5,6,30,addicted
78,4,22,1,1,50,1,48,6,4,28,not addicted
79,7,41,3,2,77,0,21,3,3,25,addicted
80,4,26,3,0,39,1,45,7,1,29,not addicted
81,6,45,2,3,58,0,19,9,2,23,addicted
82,4,22,0,0,51,0,44,7,2,25,not addicted
83,4,17,1,0,43,1,31,5,5,11,not addicted
84,6,41,1,3,59,1,23,8,5,33,addicted
85,4,30,1,1,57,2,34,11,2,28,not addicted
87,5,34,3,2,68,0,35,9,4,30,addicted
89,3,24,2,0,41,0,31,9,3,20,not addicted
91,7,37,3,1,63,1,43,7,3,22,addicted
92,5,23,1,0,50,1,38,5,4,18,not addicted
93,6,30,1,1,79,3,28,6,7,33,addicted
94,7,40,2,1,68,1,20,6,7,35,addicted
95,3,24,0,0,54,0,48,9,0,26,not addicted
96,5,27,3,1,50,0,49,4,1,24,not addicted
101,2,27,0,1,55,0,35,6,2,27,not addicted
102,6,24,1,3,74,0,43,7,5,36,addicted
103,6,37,1,1,67,2,19,5,6,25,addicted
109,4,18,0,1,38,1,50,5,6,32,not addicted
112,4,25,2,1,41,0,20,8,3,37,not addicted
113,1,22,0,0,41,1,37,9,1,23,not addicted
118,1,24,0,0,60,0,54,3,6,21,not addicted
119,6,25,1,0,56,2,20,7,3,27,not addicted
121,5,42,2,2,62,0,35,6,8,31,addicted
122,3,25,0,2,56,0,35,6,2,25,not addicted
125,3,29,1,0,57,0,52,9,0,27,not addicted
126,4,31,0,2,43,1,21,5,1,34,not addicted
